"SAMPLEID","STATIONID","COLLDATE","LAT","LONG","Elevation","BFIWs","SWs","KffactWs","PrecipWs","TmaxWs","TmeanWs","RckDepWs","INDEX_REGION","INDEX_NAME","ni_total","pt_H_WDEQ_34","WA_Salinity_USGS","nt_Diatas_TN_2","pt_T_WDEQ_12","pt_T_WDEQ_56","pt_O_WDEQ_4","BC_12.pa","pt_H_WDEQ_34_RFadj","pt_T_WDEQ_56_RFadj","nt_Diatas_TN_2_RFadj","pt_T_WDEQ_12_RFadj"
"148","WB0281","2007-07-16",41.9611015,-106.2092832,6580,50.56762337,0.62477292,0.285657086,367.2595656,11.80865312,4.385445371,108.1722514,"Statewide","WY_DiatomIBI_2022",685,25.7142857142857,1.02481751824818,4,0,48.5714285714286,8.57142857142857,0.0642335766423358,20.4575635121799,43.3147063693228,-1.2567222021058,-5.2567222021058
"149","WB0282","2007-07-16",42.176047,-106.074458,6810,50.70979865,0.2580484,0.285361653,376.4975054,11.34926263,4.015332257,113.994302,"Statewide","WY_DiatomIBI_2022",622,28.5714285714286,1.2443729903537,4,0,60,11.4285714285714,0.0321543408360129,24.0665869721323,55.4951584007038,-0.504841599296236,-4.50484159929624
"150","WB0283","2007-07-17",42.306883,-106.162656,6920,50.44946656,0.185125474,0.273948615,406.4682793,10.88329515,3.579055841,109.48581,"Statewide","WY_DiatomIBI_2022",624,20,1.97275641025641,4,2.85714285714286,60,17.1428571428571,0.644230769230769,15.0341788265035,55.0341788265035,-0.965821173496531,-2.10867831635367
"151","WB0284","2007-07-18",42.363786,-106.130069,7010,50.25699761,0.196532099,0.264121305,447.9742816,10.51630945,3.322137752,98.85744127,"Statewide","WY_DiatomIBI_2022",617,29.6296296296296,2.0291734197731,5,3.7037037037037,51.8518518518519,7.40740740740741,0.564019448946515,24.6781816807314,46.9004039029536,0.0485520511017343,-1.24774424519456
"152","WB0285","2007-07-23",42.380617,-106.089111,7040,50.21386857,0.191341731,0.261190572,461.0471597,10.42712159,3.274214805,94.39439874,"Statewide","WY_DiatomIBI_2022",618,20,2.05016181229773,5,8.88888888888889,40,13.3333333333333,0.155339805825243,15.1547880013249,35.1547880013249,0.154788001324932,4.04367689021382
"153","SR0054","2007-07-24",42.442161,-106.012294,7300,49.84661208,0.053378028,0.233828213,574.3693228,9.45441206,2.840460443,59.316883,"Statewide","WY_DiatomIBI_2022",637,20,2.04631083202512,6,5.71428571428571,51.4285714285714,11.4285714285714,0.67032967032967,14.3953558929396,45.823927321511,0.395355892939554,0.109641607225268
"154","WB184","2007-08-20",42.3388472,-109.2527472,6900,57.46180775,0.09036863,0.267498072,389.3438785,10.19170374,2.401169725,120.2911061,"Statewide","WY_DiatomIBI_2022",334,22.9166666666667,1.74550898203593,3,2.08333333333333,50,10.4166666666667,0.0568862275449102,15.7537833878273,42.8371167211606,-4.16288327883938,-5.07954994550604
"155","WB222","2007-08-20",42.3415333,-109.2500111,6900,57.46180775,0.09036863,0.267498072,389.3438785,10.19170374,2.401169725,120.2911061,"Statewide","WY_DiatomIBI_2022",284,23.0769230769231,1.90492957746479,1,2.56410256410256,48.7179487179487,10.2564102564103,0.0598591549295775,15.9140397980837,41.5550654391093,-6.16288327883938,-4.59878071473681
"156","WB223","2007-08-20",42.3203111,-109.2678583,6880,57.35544212,0.096999298,0.268183651,380.9090003,10.27782874,2.437433031,117.4038327,"Statewide","WY_DiatomIBI_2022",305,21.4285714285714,1.77377049180328,3,2.38095238095238,50,9.52380952380952,0.0786885245901639,14.0272644075483,42.5986929789769,-4.40130702102309,-5.02035464007071
"157","SR23","2007-08-28",41.183014,-106.794406,7240,60.66097872,0.041277195,0.254240659,1063.445942,9.25422964,2.514139714,115.3913262,"Statewide","WY_DiatomIBI_2022",678,10.9090909090909,1.88200589970501,8,10.9090909090909,30.9090909090909,5.45454545454545,0.20353982300885,-0.745315089136314,19.2546849108637,-3.65440599822722,-0.745315089136314
