COMID,NWs,SiteClass,BFICat
3396962,0.353598978,HiN,62.53143535
3396964,0.31349537,HiN,62
3396966,0.158785971,HiN,61.90218579
3396968,0.29468076,HiN,63.0018942
3396970,0.161579488,HiN,59.16745283
3396972,0.149838001,HiN,59
3396974,0.149838001,HiN,59.59773829
3396976,0.15621851,HiN,62
3396978,0.149838001,HiN,60.61510859
3396980,0.149838001,HiN,61.97257591
3396982,0.149838001,HiN,61.13659794
3396984,0.149838001,HiN,61
3396986,0.149838001,HiN,61.50539025
3396988,0.149838001,HiN,61.89479167
3396990,0.149838001,HiN,62
3396992,0.15814038,HiN,62.01091142
3396994,0.149838001,HiN,58.92003298
3396996,0.149838001,HiN,59.5664825
3396998,0.149838001,HiN,60.17250496
3397000,0.149838001,HiN,59.4013683
3397004,0.149838001,HiN,57
3397006,0.149838001,HiN,59.64578984
3397008,0.149838001,HiN,57
3397010,0.149838001,HiN,60.70154686
3397012,0.149838001,HiN,57.39413681
3397082,0.149838001,HiN,68.79649354
3397084,0.149838001,HiN,68
3397088,0.18938381,HiN,68
3397090,0.206989898,HiN,68
3397092,0.315391793,HiN,67.99559687
3397096,0.427702433,HiN,67.87040748
3397098,0.393272958,HiN,66.47491909
3397100,0.280069615,HiN,66.07510578
3397102,0.149838001,HiN,65.6614786
3397104,0.149838001,HiN,65.08527397
3397106,0.149838001,HiN,65
3397108,0.141156263,HiN,64.11846915
3397110,0.214387376,HiN,63.22321011
3397112,0.149838001,HiN,65
3397114,0.326116234,HiN,64.99652375
3397116,0.351194212,HiN,63.51044965
3397118,0.433171895,HiN,64.36573311
3397120,0.443581015,HiN,66
3397122,0.432136623,HiN,64
3397124,0.435102555,HiN,64.94157303
3397126,0.441913753,HiN,64.14176245
3397128,0.394890021,HiN,59
3397130,0.329654139,HiN,59
3397132,0.141307985,HiN,59
3397134,0.176177714,HiN,59
3397136,0.410463116,HiN,64
3397138,0.79277744,HiN,62
3397140,0.574831595,HiN,62.23425693
3397142,0.506177973,HiN,59
3397144,0.2432755,HiN,62.26620259
3397160,0.198057269,HiN,68
3397162,0.149838001,HiN,68
3397164,0.253120345,HiN,63
3397168,0.431035995,HiN,63
3397170,0.182427671,HiN,68
3397172,0.184677017,HiN,68
3397174,0.431035995,HiN,63
3397176,0.431035995,HiN,63
3397178,0.239132287,HiN,65
3397180,0.218830524,HiN,66.87361419
3397182,0.149838001,HiN,65
3397184,0.149838001,HiN,66.25
3397186,0.149838001,HiN,65.49145299
3397188,0.435116222,HiN,63
3397190,0.439333385,HiN,63
3397192,0.440647222,HiN,63
3397202,0.149838001,HiN,68.00086468
3397204,0.149838001,HiN,68
3397206,0.149838001,HiN,68
3397208,0.42248345,HiN,67.02071823
3397210,0.431035995,HiN,63
3397212,0.39921358,HiN,65
3397214,0.443581015,HiN,65.47431302
3397216,0.149838001,HiN,65
3397218,0.149838001,HiN,67
3397220,0.443581015,HiN,66
3397222,0.061750409,LoN,63
3397224,0.443581015,HiN,66.05113636
3397226,0.100236428,HiN,63
3397228,0.443581015,HiN,66
3397230,0.397133625,HiN,65.95585265
3397232,0.443581015,HiN,63
3397234,0.442898293,HiN,63
3397236,0.149838001,HiN,60.81403509
3397258,0.370821162,HiN,64.89550962
3397260,0.290741959,HiN,63.66497829
3397262,0.429625533,HiN,62.47391689
3397264,0.431035995,HiN,61
3397266,0.353278649,HiN,61
3397268,0.431035995,HiN,60.3442623
3397270,0.431035995,HiN,60.07673144
3397272,0.431035995,HiN,60
3397274,0.219480935,HiN,59.23823976
3397276,0.25370142,HiN,65
3397284,0.215135274,HiN,63
3398136,0.332710119,HiN,53.93150685
3398144,0.250679604,HiN,55
3398146,0.156723513,HiN,54.80579792
3398148,0.358946726,HiN,52.8377995
3398150,0.207440919,HiN,57.10006406
3398152,0.395125715,HiN,57.38974359
3398154,0.378567188,HiN,55
3398156,0.431035995,HiN,47.3010395
3398158,0.431035995,HiN,45
3398160,0.38520853,HiN,55.68541301
3398162,0.404513764,HiN,35
3398164,0.388969641,HiN,55.30825465
3398168,0.37108224,HiN,44.0397351
3398170,0.431035995,HiN,44.98062016
3398172,0.401138928,HiN,44.85148515
3398174,0.431035995,HiN,45
3398176,0.401065672,HiN,45.24711864
3398178,0.400623631,HiN,45.07070707
3398180,1.054999948,HiN,49.65945612
3398182,0.361146193,HiN,36.88921204
3398184,0.509050806,HiN,56.25656414
3398186,0.275462604,HiN,55.74039125
3398188,1.054999948,HiN,52.1979252
3398192,0.345675053,HiN,43.18487821
3398194,0.398703661,HiN,47.80579788
3398196,0.357540557,HiN,48.88449367
3398198,1.054999948,HiN,48.90824813
3398200,0.982238711,HiN,46.62768496
3398202,0.149838001,HiN,57.11497372
3398204,0.327319379,HiN,48.52691867
3398206,0.431035995,HiN,38
3398208,0.97321291,HiN,45.74576271
3398210,0.149838001,HiN,58.95491803
3398214,1.054999948,HiN,48.0562249
3398216,0.967096537,HiN,44.91820369
3398218,0.451735516,HiN,44.30692124
3398220,0.465764535,HiN,42.26355748
3398222,0.334204254,HiN,37.5400546
3398224,0.256568155,HiN,54.73334851
3398226,0.314775413,HiN,47.04028926
3398228,0.149838001,HiN,52.86134692
3398232,0.419960829,HiN,50.70146708
3398234,1.054999948,HiN,49.56122575
3398236,0.479965343,HiN,42.35584416
3398238,0.823762361,HiN,48
3398240,0.149838001,HiN,56.30813507
3398242,0.780490334,HiN,43.33162698
3398246,0.327938268,HiN,38
3398248,0.321835557,HiN,39.79039705
3398250,1.044766488,HiN,45.81988473
3398254,0.150250229,HiN,50.35330695
3398256,0.993605946,HiN,43.95578231
3398258,0.149838001,HiN,53.95446735
3398260,0.149838001,HiN,52.9
3398262,0.463187545,HiN,48
3398264,0.278585526,HiN,47.97349177
3398266,0.149838001,HiN,54.16969317
3398268,0.874966312,HiN,38
3398270,0.149838001,HiN,54
3398272,0.996656233,HiN,39.87767857
3398274,0.228518329,HiN,42.95068493
3398276,0.326121726,HiN,41.21973684
3398278,0.21607647,HiN,47.31081767
3398280,1.054999948,HiN,37.90722997
3398282,1.054999948,HiN,39.92039106
3398284,0.149838001,HiN,56.77643636
3398286,1.051171613,HiN,45.81628337
3398288,0.210169198,HiN,48.05816195
3398290,0.149838001,HiN,50.92051282
3398294,0.149838001,HiN,56.66287879
3398296,0.149838001,HiN,51
3398298,0.149838001,HiN,51.99539701
3398300,0.149838001,HiN,52
3398302,0.195011186,HiN,41.79606004
3398304,0.26159241,HiN,39
3398306,1.054999948,HiN,39
3398308,0.459623708,HiN,39
3398310,0.149838001,HiN,56.0821089
3398312,0.204286862,HiN,47.29881423
3398314,1.014639273,HiN,39.47607395
3398316,0.195650937,HiN,47
3398318,0.256773521,HiN,39
3398320,0.149838001,HiN,52
3398322,0.248298546,HiN,39
3398324,0.256640889,HiN,39
3398326,0.866929582,HiN,45.31015119
3398328,0.149838001,HiN,54.21602948
3398330,0.241708458,HiN,39
3398332,0.282483974,HiN,39
3398334,0.408706704,HiN,39.91463415
3398336,0.178415309,HiN,47
3398338,0.186515052,HiN,47.70765335
3398340,0.45742363,HiN,37
3398342,0.149838001,HiN,51.31251971
3398344,0.431035995,HiN,33.32620042
3398346,0.149838001,HiN,52
3398348,0.149838001,HiN,47.3348281
3398350,0.172026818,HiN,47
3398352,0.149838001,HiN,40.67318757
3398354,0.149838001,HiN,50.8828301
3398356,0.45663568,HiN,47
3398358,0.149838001,HiN,50.64243147
3398360,0.201960276,HiN,39.19836161
3398362,0.483796573,HiN,44.42520715
3398364,0.166021001,HiN,47
3398366,0.149838001,HiN,40
3398368,0.913297309,HiN,33.9897652
3398370,0.149838001,HiN,49.33628319
3398372,0.149838001,HiN,51.07115385
3398374,0.172024879,HiN,38.59143076
3398376,0.452623091,HiN,39.0118405
3398378,0.320690971,HiN,36.34374806
3398380,0.959342001,HiN,34.56516977
3398382,0.355735904,HiN,36.75356577
3398384,0.149838001,HiN,48.44974023
3398386,0.25777059,HiN,36
3398388,0.320161802,HiN,36
3398390,0.149838001,HiN,41.28198981
3398392,0.159061086,HiN,39
3398394,0.252503388,HiN,32
3398396,0.511431945,HiN,32.51084337
3398398,0.466661857,HiN,35.35036496
3398400,0.330094702,HiN,36
3398402,0.167715347,HiN,36
3398404,0.149838001,HiN,40
3398406,0.205696064,HiN,36
3398408,0.447816102,HiN,37.41686747
3398410,0.194759841,HiN,39
3398412,0.149838001,HiN,39
3398414,0.154307202,HiN,39
3398416,0.149838001,HiN,39.5530324
3398418,0.149838001,HiN,40
3398420,0.167422771,HiN,45.0459553
3398422,0.149838001,HiN,51.06481079
3398444,0.376454871,HiN,51.5986708
3398446,0.33665559,HiN,38.9036495
3398448,0.324538034,HiN,38.0733778
3398450,0.969615407,HiN,38.17280702
3398452,0.300905376,HiN,38.90485437
3398454,1.026810324,HiN,39.12468514
3398456,0.288645202,HiN,39
3398458,0.432159805,HiN,34.41584951
3398460,0.38400813,HiN,39
3398462,0.40267026,HiN,49.11069141
3398474,0.135621452,HiN,31.98848318
3398476,0.269908063,HiN,34
3398478,,,34
3398490,0.043857001,LoN,44
3398492,0.370796197,HiN,44
3398494,0.269714467,HiN,34.87660704
3398496,0.370835291,HiN,44.50353357
3398498,1.054999948,HiN,49.07738095
3398502,0.149838001,HiN,55.40821256
3398504,0.379104284,HiN,34.57920526
3398506,0.404638845,HiN,35
3398508,0.404172611,HiN,34.8677852
3398510,0.978348084,HiN,45.9695122
3398514,0.97255053,HiN,45.13053097
3398516,0.149838001,HiN,54.92176871
3398518,0.149838001,HiN,54.93367347
3398520,0.261219177,HiN,39
3398522,1.054999948,HiN,39
3398524,0.257106033,HiN,39
3398526,0.256766779,HiN,39
3398528,0.256602664,HiN,38.97756498
3398530,0.467188604,HiN,47
3398532,0.248128634,HiN,38.18260269
3398534,0.149838001,HiN,51
3398536,0.237704604,HiN,37
3398538,0.172036492,HiN,37
3398540,0.364573018,HiN,37.50892857
3398542,0.355905284,HiN,37
3398544,0.473792493,HiN,37.93832599
3398546,0.933395565,HiN,34.85911602
3398548,0.257230096,HiN,36
3398550,1.054999948,HiN,38.27920911
3398552,0.149838001,HiN,51.91190316
3398554,0.836199133,HiN,34.04892966
3398576,0.331560398,HiN,59
3398580,0.300504982,HiN,32.06094421
3398582,0.328249846,HiN,34.77751882
3398584,0.368626715,HiN,34
3398586,0.258942646,HiN,47.85249934
3398588,0.264594367,HiN,40.31067009
3398590,0.043857001,LoN,39
3398592,0.043857001,LoN,38.81838015
3398594,0.043857001,LoN,39
3398596,,,
3398598,0.405517734,HiN,36.30007328
3398604,0.295294526,HiN,33.5990566
3398606,0.230501363,HiN,32.10771501
3398608,0.269897885,HiN,34
3398614,0.370796883,HiN,44
3398616,0.431035995,HiN,45
3398618,0.431035995,HiN,35
3398620,0.404839129,HiN,35
3398622,0.149838001,HiN,57
3398626,0.082434318,LoN,34.08510638
3398628,0.082372464,LoN,35
3398630,0.241666442,HiN,38.03973064
3399664,0.467057797,HiN,35
3399666,0.274350064,HiN,34.97674419
3399668,0.260180721,HiN,32
3399670,0.295467238,HiN,32.19921875
3399674,0.324787946,HiN,35.4470891
3399676,0.167954502,HiN,45.40336134
3399678,0.150139319,HiN,37.63848202
3399680,0.19921047,HiN,36.28
3399682,0.166189313,HiN,39
3399684,0.153702461,HiN,34.95275591
3399688,0.159109159,HiN,32
3399690,0.149838001,HiN,40.1095414
3399694,0.171359334,HiN,38.39049486
3399696,0.149838001,HiN,34.29411765
3399698,0.149838001,HiN,42.92844626
3399700,0.149838001,HiN,40.64519651
3399702,0.159350559,HiN,36
3399704,0.169312406,HiN,45.24034869
3399706,0.149838001,HiN,51
3399708,0.149838001,HiN,51
3399710,0.203462419,HiN,31.54247169
3399712,0.149838001,HiN,36.87416709
3399714,0.176103069,HiN,47
3399716,0.172946272,HiN,47
3399718,0.149838001,HiN,39
3399720,0.149838001,HiN,39
3399722,0.149838001,HiN,38.92347333
3399724,0.149838001,HiN,39
3399726,0.149838001,HiN,39
3399728,0.149838001,HiN,51
3399730,0.17603518,HiN,50.45663185
3399732,0.149941271,HiN,32
3399734,0.149838001,HiN,37.97423109
3399736,0.149838001,HiN,34.93174061
3399738,0.149838001,HiN,40
3399740,0.149838001,HiN,30.3868781
3399742,0.177059934,HiN,50.0605613
3399744,0.149838001,HiN,39
3399746,0.149838001,HiN,38.04781654
3399748,0.149838001,HiN,32.19375283
3399750,0.149838001,HiN,45.51424695
3399752,0.149838001,HiN,39
3399754,0.149838001,HiN,39
3399756,0.184835229,HiN,51.10317061
3399758,0.149838001,HiN,39.71688214
3399760,0.149838001,HiN,31.25776144
3399762,0.149838001,HiN,35.05497132
3399764,0.156236432,HiN,47.89424481
3399766,0.149838001,HiN,39
3399770,0.179055185,HiN,51.98333333
3399774,0.149838001,HiN,38.58581064
3399776,0.149838001,HiN,39
3399778,0.149838001,HiN,39
3399780,0.149838001,HiN,39
3399782,0.149838001,HiN,39
3399784,0.149838001,HiN,39
3399786,0.149838001,HiN,39
3399788,0.149838001,HiN,39
3399790,0.149838001,HiN,39
3399792,0.149838001,HiN,39
3399794,0.184006505,HiN,54
3399796,0.149838001,HiN,40.31363968
3399798,0.149838001,HiN,39.2959467
3399800,0.16249144,HiN,49.87196262
3399802,0.190303972,HiN,52.6423623
3399804,0.184522779,HiN,54
3399806,0.149838001,HiN,40.03244592
3399808,0.149838001,HiN,39
3399810,0.199457419,HiN,51.23676012
3399812,0.149838001,HiN,38.3012987
3399814,0.149838001,HiN,42
3399816,0.149838001,HiN,41.53663793
3399818,0.149838001,HiN,39.41957408
3399820,0.149838001,HiN,47.60057827
3399822,0.149838001,HiN,49.10807975
3399824,0.38273039,HiN,51
3399826,0.149838001,HiN,39.1483376
3399828,0.16896373,HiN,50.84471218
3399830,0.149838001,HiN,41.9436346
3399832,0.149838001,HiN,31.56730769
3399834,0.183579756,HiN,51.88099315
3399836,0.149838001,HiN,32
3399838,0.22601349,HiN,51
3399840,0.149838001,HiN,32.04718798
3399842,0.178725868,HiN,51.14285714
3399844,0.149838001,HiN,31.99583457
3399846,0.149838001,HiN,53.71034483
3399848,0.149838001,HiN,39.98880377
3399850,0.149838001,HiN,32
3399852,0.149838001,HiN,37.88897362
3399854,0.149838001,HiN,40.82972583
3399856,0.149838001,HiN,31.89287926
3399858,0.149838001,HiN,35.17786674
3399860,0.149838001,HiN,38
3399862,0.149838001,HiN,31.49620253
3399864,0.149838001,HiN,40.40938581
3399866,0.230880537,HiN,51.75769901
3399868,0.149838001,HiN,41
3399870,0.149838001,HiN,41
3399872,0.149838001,HiN,37
3399874,0.149838001,HiN,30.97624253
3399876,0.149838001,HiN,37.19344164
3399878,0.149838001,HiN,41
3399880,0.149838001,HiN,32
3399882,0.149838001,HiN,41.06732118
3399884,0.149838001,HiN,41
3399886,0.149838001,HiN,33.59857383
3399888,0.149838001,HiN,37
3399890,0.149838001,HiN,41.16318328
3399892,0.149838001,HiN,41
3399894,0.149838001,HiN,36.4557024
3399896,0.149838001,HiN,32.34854398
3399898,0.149838001,HiN,41
3399900,0.149838001,HiN,38.42240602
3399902,0.149838001,HiN,32.54801368
3399904,0.149838001,HiN,36.1621937
3399906,0.149838001,HiN,36
3399908,0.149838001,HiN,36
