,pt_T_WDEQ_12_RFadj,nt_Diatas_TN_2_RFadj,BC_12.pa,WA_Salinity_USGS,pt_O_WDEQ_4,pt_H_WDEQ_34_RFadj,pt_T_WDEQ_56_RFadj
fifth,-7.016824127,-3.905981905,0.031603649,1.110126878,0,-4.746071349,-9.016128142
ninetififth,4.53583214,2.412726667,0.626071661,2.200666667,15.72755418,15.90781211,18.00525707
